============================================================
superquant 模拟交易 (ML驱动)
  启动: 2026-06-26 11:29:56
  当前资金: ¥5,000
============================================================
  📦 恢复持仓: 300650 ¥14.87×300股
  📦 恢复持仓: 002141 ¥5.35×100股
  当前资金: ¥2, 持仓: 2只
  加载ML候选池...
  ML候选: 主力200只 + 探索0只 = 200只 (from DB)
  监控池: 200只 (主力200只/探索0只)
  [13:34:41] 资金=¥2, 持仓=2
  [13:34:46] 资金=¥2, 持仓=2
  [13:34:52] 资金=¥2, 持仓=2
  [13:34:57] 资金=¥2, 持仓=2
  [13:35:02] 资金=¥2, 持仓=2
  [13:35:08] 资金=¥2, 持仓=2
  [13:35:13] 资金=¥2, 持仓=2
  [13:35:18] 资金=¥2, 持仓=2
  [13:35:23] 资金=¥2, 持仓=2
  [13:35:28] 资金=¥2, 持仓=2
  [13:35:34] 资金=¥2, 持仓=2
  [13:35:39] 资金=¥2, 持仓=2
  [13:35:44] 资金=¥2, 持仓=2
  [13:35:49] 资金=¥2, 持仓=2
  [13:35:55] 资金=¥2, 持仓=2
  [13:36:00] 资金=¥2, 持仓=2
  [13:36:05] 资金=¥2, 持仓=2
  [13:36:11] 资金=¥2, 持仓=2
  [13:36:16] 资金=¥2, 持仓=2
  [13:36:21] 资金=¥2, 持仓=2
  [13:36:26] 资金=¥2, 持仓=2
  [13:36:32] 资金=¥2, 持仓=2
  [13:36:37] 资金=¥2, 持仓=2
  [13:36:42] 资金=¥2, 持仓=2
  [13:36:48] 资金=¥2, 持仓=2
  [13:36:53] 资金=¥2, 持仓=2
  [13:36:58] 资金=¥2, 持仓=2
  [13:37:03] 资金=¥2, 持仓=2
  [13:37:09] 资金=¥2, 持仓=2
  [13:37:14] 资金=¥2, 持仓=2
  [13:37:19] 资金=¥2, 持仓=2
  [13:37:24] 资金=¥2, 持仓=2
  [13:37:30] 资金=¥2, 持仓=2
  [13:37:35] 资金=¥2, 持仓=2
  [13:37:40] 资金=¥2, 持仓=2
  [13:37:46] 资金=¥2, 持仓=2
  [13:37:51] 资金=¥2, 持仓=2
  [13:37:56] 资金=¥2, 持仓=2
  [13:38:01] 资金=¥2, 持仓=2
  [13:38:07] 资金=¥2, 持仓=2
  [13:38:12] 资金=¥2, 持仓=2
  [13:38:17] 资金=¥2, 持仓=2
  [13:38:22] 资金=¥2, 持仓=2
  [13:38:28] 资金=¥2, 持仓=2
  [13:38:33] 资金=¥2, 持仓=2
  [13:38:38] 资金=¥2, 持仓=2
  [13:38:43] 资金=¥2, 持仓=2
  [13:38:49] 资金=¥2, 持仓=2
  [13:38:54] 资金=¥2, 持仓=2
  [13:38:59] 资金=¥2, 持仓=2
  [13:39:04] 资金=¥2, 持仓=2
  [13:39:10] 资金=¥2, 持仓=2
  [13:39:15] 资金=¥2, 持仓=2
  [13:39:20] 资金=¥2, 持仓=2
  [13:39:25] 资金=¥2, 持仓=2
  [13:39:31] 资金=¥2, 持仓=2
  [13:39:36] 资金=¥2, 持仓=2
  [13:39:41] 资金=¥2, 持仓=2
  [13:39:46] 资金=¥2, 持仓=2
  [13:39:52] 资金=¥2, 持仓=2
  [13:39:57] 资金=¥2, 持仓=2
  [13:40:02] 资金=¥2, 持仓=2
  [13:40:08] 资金=¥2, 持仓=2
  [13:40:13] 资金=¥2, 持仓=2
  [13:40:18] 资金=¥2, 持仓=2
  [13:40:23] 资金=¥2, 持仓=2
  [13:40:29] 资金=¥2, 持仓=2
  [13:40:34] 资金=¥2, 持仓=2
  [13:40:39] 资金=¥2, 持仓=2
  [13:40:44] 资金=¥2, 持仓=2
  [13:40:50] 资金=¥2, 持仓=2
  [13:40:55] 资金=¥2, 持仓=2
  [13:41:00] 资金=¥2, 持仓=2
  [13:41:05] 资金=¥2, 持仓=2
  [13:41:11] 资金=¥2, 持仓=2
  [13:41:16] 资金=¥2, 持仓=2
  [13:41:21] 资金=¥2, 持仓=2
  [13:41:27] 资金=¥2, 持仓=2
  [13:41:32] 资金=¥2, 持仓=2
  [13:41:37] 资金=¥2, 持仓=2
  [13:41:43] 资金=¥2, 持仓=2
  [13:41:48] 资金=¥2, 持仓=2
  [13:41:53] 资金=¥2, 持仓=2
  [13:41:58] 资金=¥2, 持仓=2
  [13:42:04] 资金=¥2, 持仓=2
  [13:42:09] 资金=¥2, 持仓=2
  [13:42:14] 资金=¥2, 持仓=2
